ticker	label	date	open	high	low	close	volume	currency
FR0000121220	SODEXO	31/03/2020	60,100	63,880	59,560	61,640	450679	EUR
FR0000121220	SODEXO	01/04/2020	60,640	60,980	58,160	59,000	465203	EUR
FR0000121220	SODEXO	02/04/2020	59,300	59,600	57,320	59,500	449430	EUR
FR0000121220	SODEXO	03/04/2020	59,000	59,420	58,560	58,860	314931	EUR
FR0000121220	SODEXO	06/04/2020	60,120	63,360	59,160	63,360	349188	EUR
FR0000121220	SODEXO	07/04/2020	64,860	68,540	63,720	65,320	391455	EUR
FR0000121220	SODEXO	08/04/2020	63,740	64,600	61,700	63,420	412587	EUR
FR0000121220	SODEXO	09/04/2020	66,600	71,920	63,200	71,600	585154	EUR
FR0000121220	SODEXO	14/04/2020	73,000	73,000	69,460	69,540	437211	EUR
FR0000121220	SODEXO	15/04/2020	69,540	69,860	63,040	63,040	481897	EUR
FR0000121220	SODEXO	16/04/2020	63,880	64,840	61,100	62,000	439692	EUR
FR0000121220	SODEXO	17/04/2020	63,240	66,180	61,820	65,340	488836	EUR
FR0000121220	SODEXO	20/04/2020	65,880	67,520	65,260	67,240	199468	EUR
FR0000121220	SODEXO	21/04/2020	67,000	67,780	66,100	66,600	252818	EUR
FR0000121220	SODEXO	22/04/2020	67,380	67,800	65,140	65,140	206670	EUR
FR0000121220	SODEXO	23/04/2020	65,200	67,100	64,500	66,520	262618	EUR
FR0000121220	SODEXO	24/04/2020	65,600	67,940	65,340	67,320	292025	EUR
FR0000121220	SODEXO	27/04/2020	68,000	69,500	68,000	69,500	207990	EUR
FR0000121220	SODEXO	28/04/2020	69,280	70,900	69,200	70,360	316473	EUR
FR0000121220	SODEXO	29/04/2020	70,100	74,660	69,820	74,540	260392	EUR
FR0000121220	SODEXO	30/04/2020	74,740	77,200	72,500	72,500	349881	EUR
FR0000121220	SODEXO	04/05/2020	70,380	70,560	67,500	67,500	355682	EUR
FR0000121501	PEUGEOT	02/01/2020	21,410	22,010	21,410	21,740	1877667	EUR
FR0000121501	PEUGEOT	03/01/2020	21,500	21,680	21,120	21,320	2276049	EUR
FR0000121501	PEUGEOT	06/01/2020	21,010	21,050	20,530	20,980	2492450	EUR
FR0000121501	PEUGEOT	07/01/2020	21,060	21,330	21,030	21,180	3108381	EUR
FR0000121501	PEUGEOT	08/01/2020	21,050	21,190	20,780	20,940	2266811	EUR
FR0000121501	PEUGEOT	09/01/2020	21,300	21,380	20,790	20,890	2777531	EUR
FR0000121501	PEUGEOT	10/01/2020	20,900	21,220	20,790	20,870	2483070	EUR
FR0000121501	PEUGEOT	13/01/2020	21,000	21,000	20,540	20,690	2070266	EUR
FR0000121501	PEUGEOT	14/01/2020	20,680	20,710	20,400	20,500	2959042	EUR
FR0000121501	PEUGEOT	15/01/2020	20,500	20,530	19,930	19,960	3634321	EUR
FR0000121501	PEUGEOT	16/01/2020	19,960	20,250	19,695	19,920	3587383	EUR
FR0000121501	PEUGEOT	17/01/2020	20,100	20,190	19,795	19,795	2300739	EUR
FR0000121501	PEUGEOT	20/01/2020	19,905	19,950	19,685	19,760	1435137	EUR
